online_order,book_table,votes,rest_type,cuisines,cost,menu_item,type,city
1,0,55,78,1215,200.0,8778,2,28
1,0,112,78,2556,200.0,8778,2,22
0,1,116,8,989,1200.0,8778,6,8
1,0,78,27,2491,400.0,5617,2,22
1,0,0,78,2421,300.0,8778,4,27
1,0,384,78,2462,300.0,8778,2,17
0,0,0,78,1761,300.0,8778,4,21
1,0,15,0,263,500.0,1179,2,23
1,0,0,40,1153,300.0,4552,2,19
0,0,294,19,731,850.0,8778,4,17
1,0,353,78,1963,400.0,8778,2,2
0,0,0,19,701,400.0,8778,1,19
0,0,2264,10,1353,1100.0,8778,4,20
0,0,223,78,2565,300.0,8778,4,7
0,0,2304,27,92,800.0,8778,4,17
1,0,221,90,1695,400.0,8778,2,0
0,0,225,78,2565,300.0,8778,4,27
1,0,5,14,330,200.0,8778,1,13
1,0,322,78,1761,600.0,8778,4,18
1,0,23,92,63,600.0,1110,2,18
0,0,0,78,1215,150.0,8778,2,15
1,0,66,27,146,800.0,8778,2,18
0,0,4,78,1215,200.0,8778,4,19
0,0,4,27,2474,900.0,8778,3,8
0,0,8,78,1761,300.0,8778,2,13
0,0,1602,28,2381,1500.0,8778,4,21
1,0,232,78,302,300.0,8778,4,23
1,0,201,78,1761,300.0,4874,2,19
0,1,2155,60,980,1000.0,8778,2,16
0,0,0,19,2135,200.0,8778,4,7
0,0,41,27,465,450.0,8778,4,12
0,1,1143,27,2136,1100.0,8778,0,22
0,0,213,27,880,400.0,8778,4,4
0,0,46,27,2498,550.0,8778,2,20
0,1,326,27,2356,1800.0,8778,4,25
1,1,106,78,1761,300.0,11,4,20
1,0,302,27,2252,750.0,4099,4,9
0,0,44,39,1834,500.0,8778,2,2
0,0,700,10,1011,555.4315664,8778,2,25
0,0,146,92,1049,800.0,8778,2,25
1,0,670,27,1761,500.0,8778,2,0
1,0,32,76,1356,900.0,3860,2,17
1,0,24,53,1178,500.0,8778,3,0
1,0,647,27,956,500.0,8778,2,11
0,0,42,27,1872,800.0,8778,4,6
1,0,6,27,1834,550.0,8778,4,0
1,0,101,78,2489,400.0,900,4,26
1,0,74,27,1550,600.0,8778,2,16
0,0,0,78,388,200.0,8778,2,25
1,0,0,88,1686,200.0,8778,3,18
1,0,22,78,1215,400.0,8778,2,3
0,0,10,78,1834,300.0,8778,4,14
1,1,567,69,1121,2000.0,8778,5,17
1,1,1431,10,2605,1500.0,8778,4,25
1,0,67,78,2421,300.0,8778,2,19
1,0,0,39,1761,500.0,8778,2,21
0,0,0,78,1256,200.0,8778,4,5
1,0,202,78,1834,250.0,8778,2,12
1,1,1021,27,2080,700.0,6162,2,5
1,0,7,19,1294,300.0,8778,2,8
1,0,23,78,2469,300.0,5506,4,13
1,0,9,19,588,600.0,8778,4,24
0,0,13,78,388,200.0,8778,4,18
1,0,16,78,951,200.0,8778,2,10
0,0,8,93,54,300.0,8778,2,10
1,0,30,78,1802,500.0,8778,4,16
1,0,10,92,1502,500.0,8778,2,4
0,0,6,78,388,250.0,8778,2,16
1,0,73,26,639,500.0,8510,4,14
1,0,0,27,91,700.0,8778,4,16
0,0,171,27,1102,800.0,8778,2,29
1,0,0,78,388,300.0,3554,4,12
0,0,33,78,2421,400.0,8778,4,27
1,0,98,27,868,500.0,1955,4,14
1,0,507,19,618,600.0,8778,1,18
1,0,41,78,1821,800.0,8778,4,2
0,0,0,27,91,700.0,8778,4,18
1,0,468,27,172,700.0,8053,4,19
1,0,11,78,1736,400.0,8778,4,15
1,0,25,92,1321,100.0,3454,2,0
0,0,6,46,1182,300.0,8778,3,25
1,0,36,78,1606,200.0,8778,4,17
1,0,7,80,273,150.0,2624,2,12
1,0,609,78,1761,400.0,2691,4,0
1,0,264,78,2381,200.0,8778,2,3
1,0,336,78,1282,500.0,8662,2,24
1,0,10,78,2277,200.0,8778,4,12
1,0,24,78,388,200.0,8778,2,24
0,0,0,78,1761,100.0,8778,4,9
0,0,0,78,2152,400.0,8778,2,29
1,0,9,92,1832,400.0,5728,2,16
1,0,4,78,792,300.0,8778,4,19
0,0,27,78,2381,100.0,8778,4,7
1,0,91,27,1951,500.0,2079,4,14
0,0,0,0,254,500.0,8778,2,28
1,0,169,78,2109,600.0,2383,2,5
0,0,0,78,388,200.0,8778,4,27
0,0,0,78,2301,300.0,8778,2,19
1,0,740,19,649,750.0,3950,2,9
0,0,0,78,1834,300.0,8778,2,29
1,1,461,28,1761,1500.0,5731,6,19
1,0,0,78,2052,250.0,955,4,13
1,0,94,78,1565,200.0,8778,4,4
1,0,551,78,2457,350.0,1968,4,11
1,0,0,78,1834,300.0,2209,4,13
0,0,0,78,1215,150.0,8778,4,15
0,1,966,28,2139,1000.0,8778,4,12
1,0,12,27,2152,500.0,8778,2,0
1,0,358,39,388,650.0,3495,2,18
0,0,23,27,2410,450.0,8778,2,27
1,0,19,27,956,600.0,8778,4,23
0,0,104,26,729,1200.0,8778,1,20
1,0,109,27,1746,700.0,8778,2,4
0,0,0,78,2381,150.0,8778,4,29
0,0,228,60,1093,2100.0,8778,4,29
0,0,7,78,2537,150.0,8778,4,0
1,0,466,27,1867,600.0,8778,2,25
1,0,19,27,1761,700.0,8778,4,8
1,0,227,27,2038,950.0,8778,2,20
0,1,174,27,2273,1200.0,8778,4,22
0,0,0,78,2436,150.0,8778,4,20
0,0,17,27,1834,800.0,8778,4,19
0,0,46,19,622,600.0,8778,1,16
1,1,1365,28,187,1400.0,8778,6,0
1,0,199,78,2211,300.0,8778,2,2
1,0,660,27,969,500.0,3129,2,17
1,0,0,40,1178,150.0,5308,2,27
0,1,433,37,1214,2400.0,8778,4,25
1,0,11,34,2052,300.0,4400,4,29
0,1,854,60,1873,1600.0,8778,5,11
1,0,4,17,343,300.0,8778,4,23
1,0,265,39,1857,400.0,7686,2,2
0,0,264,27,868,650.0,8778,2,11
0,0,19,78,2537,150.0,8778,4,9
0,0,6,78,2381,400.0,8778,2,18
0,0,0,0,263,300.0,8778,2,23
1,0,41,92,1178,300.0,8778,3,6
0,0,0,78,443,300.0,8778,4,19
0,0,34,65,1789,300.0,8778,4,19
1,0,44,78,2537,200.0,6331,4,13
1,0,882,27,1124,1100.0,8778,2,8
0,0,13,78,388,200.0,8778,2,29
1,0,324,27,2080,600.0,2698,4,14
1,0,0,78,2285,250.0,8778,4,21
1,0,74,23,682,600.0,8778,2,10
1,0,86,88,1689,100.0,8778,3,16
0,0,6,78,2015,250.0,8778,4,13
1,0,61,40,1181,450.0,3006,2,17
0,0,47,27,1761,800.0,8778,4,16
0,0,0,53,2281,250.0,8778,3,13
0,0,0,78,1761,300.0,8778,2,4
1,0,70,27,880,600.0,5742,4,12
0,1,9041,77,19,1800.0,8778,6,11
0,0,17,78,1834,400.0,8778,2,19
0,0,16,59,1442,200.0,8778,3,25
1,0,188,78,878,400.0,8778,4,17
0,0,26,19,685,600.0,8778,1,14
1,0,49,19,557,700.0,8778,2,3
1,0,95,39,1683,600.0,2568,2,16
0,0,59,78,903,300.0,8778,4,24
0,0,73,90,1694,250.0,8778,2,16
0,0,0,92,1427,400.0,8778,2,0
1,0,83,27,446,650.0,8778,2,18
0,0,0,40,1153,250.0,8778,2,7
1,0,9,92,1397,500.0,8778,2,4
1,0,28,78,1238,500.0,5263,4,29
1,0,90,92,1239,650.0,8645,2,21
0,0,6,27,134,700.0,8778,4,17
0,0,424,19,622,450.0,8778,4,1
1,0,829,27,1636,850.0,8778,2,10
0,0,0,78,2381,200.0,8778,4,11
0,1,1559,73,1368,1200.0,8778,5,19
1,0,408,78,392,400.0,8778,2,19
0,0,0,78,2436,200.0,8778,4,21
0,0,217,78,1324,300.0,8778,2,10
1,0,42,40,1699,250.0,4974,3,13
0,0,10,78,2410,150.0,8778,4,16
0,0,320,65,1607,300.0,8778,4,19
0,1,478,27,1712,800.0,8778,4,7
1,0,239,39,1834,400.0,8125,2,17
1,0,68,27,1761,700.0,2441,2,5
1,0,0,39,2325,300.0,8778,2,19
1,0,144,19,817,700.0,8778,4,3
0,0,9,78,2152,400.0,8778,4,14
1,0,0,40,1153,800.0,8778,3,18
0,0,71,40,1449,250.0,8778,3,29
0,0,0,78,1926,400.0,8778,4,22
0,0,0,78,554,200.0,8778,4,12
0,0,203,78,2381,250.0,8778,4,14
1,0,173,78,394,550.0,8778,2,29
1,0,75,27,1032,1000.0,5717,2,27
1,0,384,78,2462,300.0,8778,4,0
0,1,240,73,41,1500.0,8778,5,5
1,0,3007,19,606,1000.0,8778,4,19
1,0,453,27,1761,600.0,8778,2,8
1,1,392,8,465,1500.0,8778,0,4
0,0,0,0,273,600.0,8778,2,16
1,0,10,0,263,450.0,8778,3,29
1,0,8,40,1178,250.0,7895,2,13
1,0,5,78,2426,300.0,7032,2,13
1,0,111,40,273,500.0,3979,2,27
0,0,19,26,2138,500.0,8778,1,28
0,1,1470,19,649,800.0,8778,1,17
0,0,0,39,792,200.0,8778,2,17
0,0,6,19,557,400.0,8778,2,21
1,0,329,27,2080,800.0,8778,4,21
0,0,35,23,677,1100.0,8778,3,21
0,0,11,78,2410,550.0,8778,2,8
1,0,168,19,751,700.0,8778,4,24
0,0,13,91,1761,555.4315664,8778,2,4
1,0,121,28,1757,1000.0,8778,6,5
1,0,9,39,1802,450.0,3285,2,6
0,0,89,78,2029,300.0,8778,2,0
0,0,0,78,1857,300.0,8778,2,20
0,0,0,40,1449,250.0,8778,2,24
0,1,1239,27,2152,800.0,8778,0,12
0,0,75,78,2179,400.0,8778,4,2
0,0,0,78,2469,300.0,8778,4,23
1,1,61,19,701,800.0,6469,1,21
1,0,2071,27,2534,1200.0,8778,2,16
1,0,19,78,956,300.0,8778,4,3
1,0,13,53,54,400.0,1632,2,23
1,0,75,27,1761,500.0,7975,4,20
0,0,0,39,1761,400.0,8778,2,28
0,0,19,78,2293,250.0,8778,4,0
1,0,2621,43,1448,500.0,8778,2,18
1,0,468,27,1761,1200.0,8778,0,28
1,0,283,27,466,800.0,8778,2,13
0,0,0,82,1275,400.0,8778,4,23
1,0,310,39,1587,600.0,289,2,16
1,1,2493,73,2039,900.0,8778,4,0
1,1,982,27,326,750.0,8778,2,29
1,0,192,40,1153,300.0,8778,3,17
1,0,1135,39,450,650.0,8778,2,25
0,0,0,40,1153,500.0,8778,2,14
1,0,14,27,2136,600.0,8778,4,3
1,0,177,78,318,500.0,8778,2,0
0,0,0,39,208,400.0,8778,2,5
0,0,0,78,2381,250.0,8778,4,17
0,0,0,0,254,300.0,8778,3,12
0,0,10,0,254,300.0,8778,2,4
1,0,32,78,1215,200.0,8778,2,2
0,0,0,78,443,150.0,8778,4,12
1,0,128,27,2433,500.0,164,2,1
0,1,563,49,1626,2500.0,8778,4,22
1,0,483,27,1146,800.0,8778,4,18
0,0,8,78,2012,250.0,8778,4,17
1,0,127,78,1293,400.0,3031,2,9
1,0,351,19,755,500.0,8778,2,0
0,0,2380,73,1355,1400.0,8778,6,19
1,0,298,78,470,450.0,2029,2,10
0,1,7154,27,220,1400.0,8778,4,23
0,0,0,53,1153,300.0,8778,3,29
0,0,9,27,1093,1000.0,8778,4,6
1,0,19,14,341,400.0,8778,3,9
0,0,10,78,1834,300.0,8778,2,14
1,0,225,78,2024,250.0,458,2,6
0,0,37,78,2520,250.0,8778,4,21
0,0,0,65,56,300.0,8778,2,17
1,0,34,3,1155,200.0,8778,3,10
0,0,253,78,1682,400.0,8778,4,11
0,1,1932,69,984,1400.0,8778,5,0
